Filename,Run Count,Last Run Date
"C:\Program Files\AutoHotkey\Compiler\Ahk2Exe.exe",3,133718208472062871
"D:\協助驗證Code\ConfirmData\Edward(Darcy給)\Protocol",2,133721405765124105
"C:\xampp\licenses\httpd",2,133681761743714706
"C:\Program Files (x86)\Nmap",2,133656796341636345
"C:\Program Files (x86)\Nmap\nmap.exe",2,133656796315445872
"C:\Users\1131880\Downloads\draw.io-24.6.4-windows-no-installer.exe",2,133656760936017762
"C:\Users\Titan GT77\node_modules\bootstrap\dist\css\bootstrap.min.css",2,133646614135396912
"D:\協助驗證Code\ConfirmData\Edward(Darcy給)\Protocol\Protocol_V5.6.0 _I2CUart.xlsx",1,133721405840273563
"D:\Drivers\tp_linux_driver_release_checklist.xlsx",1,133719055793562949
"C:\Users\1131880\Downloads\Snipaste-1.16.2-x64",1,133701100844171272
"C:\Users\1131880\Downloads\Snipaste-1.16.2-x64\Snipaste.exe",1,133701100801809653
"C:\Program Files\AutoHotkey\Compiler",1,133699896814953933
"C:\xampp\htdocs\Wei_Ya\app\Views\ui\main_ui.php",1,133697160937261802
"C:\Users\1131880\Desktop\其他國家ai系統作業-20240730.docx",1,133694746801871395
"C:\xampp\apache",1,133681837323450019
"C:\xampp\apache\bin\ab.exe",1,133681761656070019
"C:\Users\1131880\Downloads\httpd-2.4.62-240718-win64-VS17\Apache24\bin\ab.exe",1,133681761604527308
"D:\協助驗證Code\ConfirmData\Edward(Darcy給)\Pro\Protocol_V5.6.4_I2CUart_20240222.xlsx",1,133658490039942016
"D:\IliTek新Code\TP Test Studio\ILIProgramSys\Protocol",1,133658489722704928
"C:\Program Files (x86)\Nmap\zenmap",1,133656796391816016
"C:\Users\1131880\Downloads\Cutter-v2.3.4-Windows-x86_64\cutter.exe",1,133654958642547252
"C:\Users\1131880\Desktop\新手包\C# Coding Standards\ILITek_C#.vssettings",1,133649985833604504
"D:\Visual Studio Professional 2013\Common7\IDE\Profiles\CSharp.vssettings",1,133649985749118525
"C:\Users\Titan GT77\AppData\Local\Google\Chrome\User Data\Default\Extensions\fnplkbhndemgbopkkpmpnfklkhphpneg\3.0.2_0\data\UI\css\bootstrap.min.css",1,133646613692608817
